JUN
LYN
NIN
AFF1
BCL9
BCOR
CLTC
CUX1
DNM2
EBF1
FLNA
GNAQ
IL7R
JAK1
LIFR
LYL1
MDM2
MITF
MUC4
NSD1
PER1
POLQ
UBR5
ZEB1
AKAP9
AXIN2
BCL10
BIRC6
BRCA1
BRCA2
BRIP1
CLIP1
CNTRL
CSF3R
EP300
FBLN2
FBXW7
GNA11
KDM5A
KMT2A
KMT2D
LATS2
LRP1B
MAML2
MUC16
NCOA1
NCOR1
NCOR2
NUMA1
NUP98
PATZ1
PBRM1
PLCG1
POLD1
USP44
ZMYM2
ARID1A
CAMTA1
COL1A1
CTNND2
DICER1
GRIN2A
HOXA11
HOXA13
HOXC11
NOTCH1
NOTCH2
SETD1B
SETDB1
SRGAP3
ZNF479
CNTNAP2
PPP2R1A
SMARCA4
CCNB1IP1
